Name	count	Prefix	Suffix	Simple
Donald Trump	2,844,894	Donald	Trump	True
Barack Obama	486,850	Barack	Obama	True
Hillary Clinton	373,952	Hillary	Clinton	True
Robert Mueller	322,466	Robert Mueller	True
Brett Kavanaugh	275,760	Brett	Kavanaugh	True
Vladimir Putin	259,523	Vladimir	Putin	True
Kim Jong Un	235,941	Kim	Jong Un	False
George W. Bush	227,995	George	W. Bush	False
Jeff Sessions	183,215	Jeff	Sessions	True
Mike Pence	181,224	Mike	Pence	True
LeBron James	165,906	LeBron	James	True
Mike Pompeo	164,605	Mike	Pompeo	True
Michael Cohen	158,777	Michael	Cohen	True
Mitch McConnell	156,854	Mitch	McConnell	True
Bill Clinton	153,031 Bill	Clinton	True
Paul Ryan	149,047	Paul	Ryan	True
Sarah Huckabee Sanders	136,479	Sarah	Huckabee Sanders	False
Nancy Pelosi	128,473	Nancy	Pelosi	True
Tom Brady	123,730	Tom	Brady	True
John McCain	121,761	John	McCain	True
Emmanuel Macron	111,795	Emmanuel	Macron	True
Melania Trump	111,260	Melania	Trump	True
Christine Blasey Ford	110,709	Christine	Blasey Ford	False
Rick Scott	109,303	Rick	Scott	True
Chuck Schumer	105,530	Chuck	Schumer	True
Kevin Durant	102,727	Kevin	Durant	True
Paul Manafort	100,797	Paul	Manafort	True
George H.W. Bush	99,756	George	H.W. Bush	False
Harvey Weinstein	99,642	Harvey	Weinstein	True
Pope Francis	99,554	Pope	Francis	False
James Comey	99,190	James	Comey	True
Xi Jinping	97,265	Xi	Jinping	False
Bernie Sanders	97,104	Bernie	Sanders	True
Jerry Brown	96,965	Jerry	Brown	True
Ronald Reagan	96,584	Ronald	Reagan	True
Mark Zuckerberg	93,287	Mark	Zuckerberg	True
Moon Jae-in	92,833	Moon	Jae-in	False
Angela Merkel	92,137	Angela	Merkel	True
Stephen Curry	89,632	Stephen	Curry	True
Jeff Flake	88,098	Jeff	Flake	True
Jamal Khashoggi	83,663	Jamal	Khashoggi True
John Kelly	83,441	John	Kelly	True
Jared Kushner	82,755	Jared	Kushner	True
Jesus Christ	81,572	Jesus	Christ	True
Ted Cruz	80,862	Ted	Cruz	True
Aaron Rodgers	78,728	Aaron	Rodgers	True
Andrew Cuomo	78,368	Andrew	Cuomo	True
Theresa May	77,545	Theresa	May	True
Rod Rosenstein	77,452	Rod	Rosenstein	True
Lindsey Graham	75,350	Lindsey	Graham	True
Tiger Woods	74,688	Tiger	Woods	True
Scott Walker	73,574	Scott	Walker	True
Dianne Feinstein	73,558	Dianne	Feinstein	True
Larry Nassar	73,482	Larry	Nassar	True
Meghan Markle	73,027	Meghan	Markle	True
Jim Mattis	70,737	Jim	Mattis	True
Nikolas Cruz	69,414	Nikolas	Cruz	True
Steve Kerr	69,034	Steve	Kerr	True
James Harden	66,677	James	Harden	True
John Bolton	66,586	John	Bolton	True
Benjamin Netanyahu	65,863	Benjamin	Netanyahu	True
Anthony Kennedy	64,926	Anthony	Kennedy	True
Rudy Giuliani	63,531	Rudy	Giuliani	True
Susan Collins	63,095	Susan	Collins	True
Bill Belichick	62,961	Bill	Belichick	True
Tayyip Erdogan	61,961	Tayyip	Erdogan	True
Rex Tillerson	61,615	Rex	Tillerson	True
Klay Thompson	61,520	Klay	Thompson	True
Mohammed bin Salman	61,241	Mohammed	bin Salman	False
Joe Biden	60,381	Joe	Biden	True
Bashar Assad	60,222	Bashar	al Assad	False
Baker Mayfield	59,947	Baker	Mayfield	True
Chris Paul	59,052	Chris	Paul	True
Chuck Grassley	58,912	Chuck	Grassley	True
Ivanka Trump	58,685	Ivanka	Trump	True
Elizabeth Warren	58,370	Elizabeth	Warren	True
Donald Trump Jr.	58,054	Donald	Trump Jr.	False
Alex Cora	57,812	Alex	Cora	True
Jeff Bezos	56,993	Jeff	Bezos	True
Steve Bannon	56,818	Steve	Bannon	True
Marco Rubio	56,224	Marco	Rubio	True
Richard Nixon	55,911	Richard	Nixon	True
Kirstjen Nielsen	55,242	Kirstjen	Nielsen	True
Bill Nelson	55,183	Bill	Nelson	True
Colin Kaepernick	55,112	Colin	Kaepernick	True
Michael Avenatti	54,668	Michael	Avenatti	True
Jon Gruden	54,064	Jon	Gruden	True
Scott Pruitt	53,434	Scott	Pruitt	True
Manny Machado	53,329	Manny	Machado	True
Doug Ducey	52,713	Doug	Ducey	True
Bill Cosby	52,691	Bill	Cosby	True
Justin Trudeau	52,334	Justin	Trudeau	True
Martin Luther King Jr.	51,881	Martin	Luther King Jr.	False
J.D. Martinez	51,664	J.D.	Martinez	False
Nikki Haley	51,032	Nikki	Haley	True
Mookie Betts	51,009	Mookie	Betts	True
Oprah Winfrey	50,391	Oprah	Winfrey	True
Steven Mnuchin	50,041	Steve	Mnuchin	True
Elon Musk	49,905	Elon	Musk	True
Michael Flynn	49,443	Michael	Flynn	True
